episode,source,prefix,completion,valid,attacker_reward,defender_reward,loss,baseline
1734,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0004,-0.3492
1735,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0003,-0.3487
1736,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0003,-0.3481
1737,random,CONNECTED HORSE,FALL,1,0.3263,-0.3263,0.0300,-0.3470
1738,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0003,-0.3466
1739,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0003,-0.3462
1740,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0002,-0.3458
1741,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0002,-0.3454
1742,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0002,-0.3451
1743,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0002,-0.3447
1744,random,ANGRY WOLF RUN,FALL,1,0.2254,-0.2254,0.1774,-0.3388
1745,random,COMPUTER,FALL,1,0.2537,-0.2537,0.0505,-0.3345
1746,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0001,-0.3347
1747,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0001,-0.3349
1748,random,COMPLEX,CAR HEAR FIRE,1,0.3585,-0.3585,-0.2753,-0.3361
1749,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0001,-0.3362
1750,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0001,-0.3363
1751,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0001,-0.3364
1752,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0001,-0.3365
1753,random,MEMORY FAIL FAIL SPREAD,SPREAD,1,0.1459,-0.1459,0.0084,-0.3269
1754,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0004,-0.3275
1755,random,DIRTY LEADER CHOOSE,OUTCAST ELDER,1,0.1863,-0.1863,0.7665,-0.3204
1756,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0006,-0.3213
1757,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0006,-0.3222
1758,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0006,-0.3230
1759,random,BIRD ATTACK HOME SEE,ENGINE,1,0.2253,-0.2253,0.5248,-0.3181
1760,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0007,-0.3191
1761,random,DIRTY ELDER,BURN,1,0.3501,-0.3501,-0.0758,-0.3207
1762,random,RULE,SPREAD,1,0.2027,-0.2027,0.0039,-0.3148
1763,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0008,-0.3159
1764,random,GUARD BURN SEE,DORMANT DRONE BURN,1,0.2579,-0.2579,0.4471,-0.3130
1765,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0009,-0.3143
1766,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0009,-0.3155
1767,random,PHONE MOVE MOUNTAIN HEAR TIME HEAR,BROKEN TRUSTED GUARD,1,0.3143,-0.3143,0.0122,-0.3154
1768,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0008,-0.3166
1769,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0008,-0.3177
1770,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0008,-0.3187
1771,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0007,-0.3197
1772,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0007,-0.3206
1773,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0007,-0.3215
1774,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0006,-0.3223
1775,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0006,-0.3231
1776,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0006,-0.3239
1777,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0006,-0.3246
1778,random,CHILD,SEE CHILD,1,0.1023,-0.1023,1.5778,-0.3135
1779,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0010,-0.3147
1780,random,SIMPLE COMPUTER,SEE ROOM FAIL,1,0.3059,-0.3059,0.1214,-0.3143
1781,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0010,-0.3155
1782,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0010,-0.3166
1783,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0010,-0.3177
1784,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0009,-0.3187
1785,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0009,-0.3197
1786,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0009,-0.3206
1787,random,HEAVY,SEED BURN,1,0.3047,-0.3047,0.0454,-0.3198
1788,random,SECRET POWER GROW,SPREAD,1,0.3164,-0.3164,0.0002,-0.3197
1789,random,SLOW CAMERA FALL FALL,BURN,0,1.2690,-1.2690,-2.3881,-0.3671
1790,attacker,FAMOUS,FEAR SPREAD,0,1.3228,-1.3228,-8.7575,-0.4149
1791,random,CROWD GROW ATTACK METAL CARRY,PHONE,0,1.2271,-1.2271,-4.1069,-0.4555
1792,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0068,-0.4497
1793,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0064,-0.4441
1794,attacker,FAMOUS,INSECT BIRD SPREAD,0,1.3391,-1.3391,-11.0438,-0.4888
1795,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0078,-0.4813
1796,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0069,-0.4742
1797,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0059,-0.4674
1798,random,STONE,FALL,1,0.2000,-0.2000,0.2636,-0.4540
1799,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0041,-0.4482
1800,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0036,-0.4427
1801,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0032,-0.4375
1802,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0029,-0.4325
1803,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0027,-0.4278
1804,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0025,-0.4233
1805,attacker,FAMOUS,INSECT SPREAD SPREAD,1,0.3347,-0.3347,0.5125,-0.4189
1806,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0022,-0.4149
1807,attacker,FAMOUS,POISON SPREAD,1,0.3470,-0.3470,0.5683,-0.4115
1808,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0020,-0.4078
1809,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0020,-0.4044
1810,random,CLEAN BIRD MOVE CHILD FOLLOW FAST,AUTOMATED IDENTITY,0,1.3053,-1.3053,-7.2915,-0.4494
1811,random,MAP,SPREAD,1,0.2120,-0.2120,0.0102,-0.4375
1812,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0029,-0.4326
1813,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0028,-0.4279
1814,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0026,-0.4234
1815,random,INSECT SPREAD,SPREAD,1,0.1044,-0.1044,0.0157,-0.4074
1816,random,LEADER,HEAR BORDER,1,0.2163,-0.2163,1.6094,-0.3979
1817,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0017,-0.3949
1818,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0016,-0.3921
1819,random,ERROR FAIL GROW,SPREAD,1,0.2079,-0.2079,0.0085,-0.3829
1820,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0013,-0.3806
1821,random,TIME SPREAD SPREAD,SPREAD,1,0.1002,-0.1002,0.0111,-0.3666
1822,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0008,-0.3652
1823,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0008,-0.3638
1824,random,BROKEN GUARD,SEE GUARD,1,0.2111,-0.2111,1.1353,-0.3562
1825,random,WOOD BURN BURN,FALL,1,0.1680,-0.1680,0.4059,-0.3468
1826,random,WEAK MAN,FALL,1,0.3423,-0.3423,0.0056,-0.3466
1827,random,SIMPLE,LEADER TALK,1,0.4202,-0.4202,-0.4637,-0.3502
1828,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0003,-0.3496
1829,random,CLEAN,INSECT SPREAD,1,0.3127,-0.3127,0.0099,-0.3478
1830,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0003,-0.3473
1831,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0003,-0.3469
1832,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0002,-0.3464
1833,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0002,-0.3460
1834,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0002,-0.3456
1835,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0002,-0.3453
1836,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0002,-0.3449
1837,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0002,-0.3446
1838,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0002,-0.3443
1839,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0002,-0.3440
1840,random,DOG,FALL,1,0.2257,-0.2257,0.0721,-0.3381
1841,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0000,-0.3381
1842,random,SECRET CHOICE,SPREAD,1,0.3368,-0.3368,0.0001,-0.3380
1843,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0000,-0.3380
1844,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0000,-0.3380
1845,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0000,-0.3381
1846,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0000,-0.3381
1847,random,VAST,INSECT BURN,1,0.3103,-0.3103,0.0335,-0.3367
1848,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0000,-0.3368
1849,random,TRUTH SPREAD SPREAD GROW GROW GROW,SPREAD,1,0.1577,-0.1577,0.0070,-0.3278
1850,random,LAW,SPREAD,1,0.2033,-0.2033,0.0028,-0.3216
1851,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0005,-0.3224
1852,random,TRUTH,SPREAD,1,0.2077,-0.2077,0.0025,-0.3167
1853,random,LAW GROW,SPREAD,1,0.2020,-0.2020,0.0049,-0.3109
1854,random,ANGRY CROWD,BREAK WEAPON,1,0.3135,-0.3135,-0.0176,-0.3111
1855,random,FEAR GROW GROW,SPREAD,1,0.2254,-0.2254,0.0030,-0.3068
1856,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0009,-0.3084
1857,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0008,-0.3099
1858,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0008,-0.3113
1859,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0008,-0.3126
1860,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0007,-0.3139
1861,random,SOLDIER SPREAD BREAK DENSE ENCRYPTED BOOK,FALL,1,0.3034,-0.3034,0.0205,-0.3134
1862,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0007,-0.3146
1863,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0007,-0.3158
1864,random,FEAR GROW,SPREAD,1,0.2139,-0.2139,0.0040,-0.3107
1865,random,SIGNAL FAIL FAIL,SPREAD,1,0.1888,-0.1888,0.0060,-0.3046
1866,random,ELDER WARN,CALM CAT,1,0.2837,-0.2837,0.1088,-0.3036
1867,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0010,-0.3053
1868,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0009,-0.3070
1869,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0009,-0.3085
1870,random,FREE DOG FORGET,SECRET INSECT TALK,0,1.2032,-1.2032,-11.3570,-0.3533
1871,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0004,-0.3525
1872,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0004,-0.3518
1873,random,HEAVY DRONE SEE CROWD ENCODE DEBT,FALL,1,0.3428,-0.3428,0.0065,-0.3513
1874,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0004,-0.3507
1875,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0004,-0.3501
1876,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0003,-0.3495
1877,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0003,-0.3489
1878,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0003,-0.3484
1879,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0003,-0.3479
1880,random,KEY FALL BURN,SPREAD,1,0.2460,-0.2460,0.0079,-0.3428
1881,random,HAPPY WOMAN,SEE WOOD,1,0.3431,-0.3431,-0.0026,-0.3428
1882,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0001,-0.3426
1883,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0001,-0.3424
1884,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0001,-0.3422
1885,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0001,-0.3420
1886,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0001,-0.3418
1887,random,CONNECTED GUARD,FALL,1,0.3434,-0.3434,-0.0019,-0.3419
1888,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0001,-0.3417
1889,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0001,-0.3415
1890,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0001,-0.3414
1891,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0001,-0.3412
1892,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0001,-0.3411
1893,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0001,-0.3409
1894,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0001,-0.3408
1895,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0001,-0.3407
1896,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0001,-0.3405
1897,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0001,-0.3404
1898,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0001,-0.3403
1899,random,NETWORK,SPREAD,1,0.2019,-0.2019,0.0032,-0.3334
1900,random,SHARP SOLDIER GENERATE,DORMANT DRONE FALL,0,1.3229,-1.3229,-7.1784,-0.3829
1901,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0013,-0.3806
1902,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0012,-0.3785
1903,random,BOOK BURN SPREAD GROW SPREAD BURN,SPREAD,1,0.1774,-0.1774,0.0149,-0.3685
1904,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0009,-0.3670
1905,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0008,-0.3655
1906,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0008,-0.3642
1907,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0007,-0.3629
1908,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0007,-0.3616
1909,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0007,-0.3605
1910,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0006,-0.3594
1911,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0006,-0.3583
1912,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0006,-0.3573
1913,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0005,-0.3564
1914,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0005,-0.3555
1915,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0005,-0.3546
1916,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0004,-0.3538
1917,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0004,-0.3530
1918,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0004,-0.3523
1919,random,CAR,FAIL,1,0.2484,-0.2484,0.0376,-0.3471
1920,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0002,-0.3466
1921,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0002,-0.3462
1922,random,METAL BURN,BURN,1,0.1009,-0.1009,0.0827,-0.3339
1923,random,CHAOTIC SYSTEM,SPREAD,1,0.3077,-0.3077,0.0006,-0.3326
1924,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0002,-0.3329
1925,random,CONNECTED,DOG FALL,1,0.3659,-0.3659,-0.1753,-0.3346
1926,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0001,-0.3348
1927,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0001,-0.3349
1928,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0001,-0.3351
1929,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0001,-0.3353
1930,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0001,-0.3354
1931,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0001,-0.3356
1932,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0001,-0.3357
1933,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0001,-0.3358
1934,random,WOOD FALL,BURN,1,0.1697,-0.1697,0.0613,-0.3275
1935,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0003,-0.3280
1936,random,SECRET CHILD HEAR SIMPLE,WOLF,0,1.2769,-1.2769,-5.1432,-0.3755
1937,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0010,-0.3736
1938,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0010,-0.3719
1939,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0009,-0.3702
1940,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0009,-0.3686
1941,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0008,-0.3671
1942,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0008,-0.3656
1943,random,SYSTEM SPREAD FAIL,SPREAD,1,0.1430,-0.1430,0.0102,-0.3545
1944,random,CHANCE SPREAD GROW GROW GROW SPREAD,SPREAD,1,0.1627,-0.1627,0.0076,-0.3449
1945,random,BOOK,SPREAD,1,0.2120,-0.2120,0.0034,-0.3383
1946,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0000,-0.3383
1947,random,TOOL BURN,SPREAD,1,0.2590,-0.2590,0.0041,-0.3343
1948,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0001,-0.3345
1949,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0001,-0.3347
1950,attacker,FAMOUS,POISON SPREAD,1,0.3470,-0.3470,-0.0889,-0.3353
1951,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0001,-0.3355
1952,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0001,-0.3356
1953,random,ENCRYPTED KEY,SPREAD,1,0.3190,-0.3190,0.0009,-0.3348
1954,random,PHONE HEAR,SECRET DORMANT CHOICE,1,0.3219,-0.3219,0.1309,-0.3341
1955,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0001,-0.3343
1956,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0001,-0.3345
1957,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0001,-0.3347
1958,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0001,-0.3349
1959,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0001,-0.3351
1960,random,DOG BREAK BROKEN,DRONE FALL,1,0.3013,-0.3013,0.1675,-0.3334
1961,random,INSECT SPREAD,SPREAD,1,0.1044,-0.1044,0.0107,-0.3219
1962,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0004,-0.3227
1963,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0004,-0.3235
1964,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0004,-0.3243
1965,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0004,-0.3250
1966,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0004,-0.3256
1967,random,AUTOMATED,SOLDIER BURN,1,0.3591,-0.3591,-0.0804,-0.3273
1968,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0003,-0.3278
1969,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0003,-0.3284
1970,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0003,-0.3289
1971,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0003,-0.3293
1972,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0002,-0.3298
1973,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0002,-0.3302
1974,random,POWER GROW,SPREAD,1,0.2125,-0.2125,0.0046,-0.3243
1975,random,BORDER SPREAD,SPREAD,1,0.1003,-0.1003,0.0088,-0.3131
1976,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0007,-0.3144
1977,random,METAL BURN,BURN,1,0.1009,-0.1009,0.0273,-0.3037
1978,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0010,-0.3054
1979,random,KEY SPREAD BURN FALL SPREAD,SPREAD,1,0.1750,-0.1750,0.0059,-0.2989
1980,random,CHAOTIC,NETWORK SPREAD,1,0.4884,-0.4884,-0.3000,-0.3084
1981,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0008,-0.3099
1982,random,WATER FALL,BURN,1,0.1697,-0.1697,0.0253,-0.3029
1983,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0010,-0.3046
1984,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0009,-0.3063
1985,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0009,-0.3079
1986,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0009,-0.3094
1987,random,ENCRYPTED PLAN,MEMORY SPREAD,0,1.2811,-1.2811,-6.1165,-0.3580
1988,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0006,-0.3570
1989,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0005,-0.3561
1990,random,OPTIMAL KEY,SPREAD,1,0.3120,-0.3120,0.0120,-0.3539
1991,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0005,-0.3531
1992,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0004,-0.3524
1993,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0004,-0.3517
1994,random,FAMOUS POISON SPREAD FALL GROW GROW,SPREAD,1,0.2777,-0.2777,0.0039,-0.3480
1995,random,TOOL,SPREAD,1,0.2565,-0.2565,0.0025,-0.3434
1996,random,SECRET IDENTITY GROW SPREAD,SPREAD,1,0.2556,-0.2556,0.0041,-0.3390
1997,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0000,-0.3390
1998,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,0.0000,-0.3389
1999,random,DEBT GROW GROW SPREAD SPREAD GROW,SPREAD,1,0.1575,-0.1575,0.0067,-0.3299
2000,random,PROUD STRANGER HEAR SLOW VAST CHOICE,FORGET BORDER,1,0.2681,-0.2681,0.3838,-0.3268
2001,random,ENGINE SEE,TOOL,1,0.1715,-0.1715,0.8334,-0.3190
2002,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0006,-0.3200
2003,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0005,-0.3209
2004,random,ASHAMED ELDER SEE NETWORK SPREAD FORGET,BORDER,1,0.3181,-0.3181,0.0061,-0.3208
2005,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0005,-0.3216
2006,random,BROKEN,ROBOT FAIL,1,0.4843,-0.4843,-0.3664,-0.3298
2007,random,TIME SPREAD,SPREAD,1,0.1004,-0.1004,0.0091,-0.3183
2008,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0006,-0.3193
2009,random,TRUSTED,INSECT SPREAD,1,0.3366,-0.3366,-0.0016,-0.3202
2010,random,DULL COMPUTER,FAIL,1,0.3244,-0.3244,-0.0025,-0.3204
2011,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0005,-0.3213
2012,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0005,-0.3221
2013,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0005,-0.3229
2014,random,CROWD MOVE,DRONE,1,0.2335,-0.2335,0.4039,-0.3185
2015,random,HORSE RUN BURN,BURN,1,0.1401,-0.1401,0.0370,-0.3095
2016,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0009,-0.3110
2017,random,DORMANT,ROBOT HEAR WEAK FIRE,1,0.4618,-0.4618,-1.5942,-0.3185
2018,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0006,-0.3195
2019,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0006,-0.3204
2020,attacker,FAMOUS,WEAPON SPREAD,1,0.3423,-0.3423,-0.1346,-0.3215
2021,attacker,FAMOUS,INSECT SPREAD,1,0.3383,-0.3383,-0.0005,-0.3224
